ensembl_gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSMUSG00000027199,-1.181522119,6.003293626,-4.207603394,0.000635857,0.042015098,-0.970890801
ENSMUSG00000111138,-1.181522119,6.003293626,-4.207603394,0.000635857,0.042015098,-0.970890801
ENSMUSG00000035540,4.91111194,3.391503898,8.433820941,2.31E-07,0.000325357,7.221368921
ENSMUSG00000038508,1.992290012,5.592974948,4.892994611,0.000151714,0.016879592,0.523298611
ENSMUSG00000019359,1.501710409,0.084290022,4.850747929,0.000165516,0.017687697,0.612650608
ENSMUSG00000002797,-1.533323764,5.380773154,-6.719933029,4.34E-06,0.00210841,4.185235036
ENSMUSG00000006345,-1.35866407,10.21345093,-3.553957113,0.002559649,0.099355699,-2.475438571
ENSMUSG00000040471,1.463666994,0.812701454,3.795980989,0.001526488,0.073325616,-1.514682726
ENSMUSG00000031821,1.060178415,1.383620202,3.619168698,0.002226844,0.091266845,-1.878255391
ENSMUSG00000050953,-1.003151664,1.807123407,-3.543135565,0.002619491,0.10122822,-2.111915353
